time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20121130T104606,589.,200,200,589.4,100,100
20121130T104611,589.,200,200,589.41,100,100
20121130T104612,589.,200,200,589.38,100,100
20121130T104618,589.,200,200,589.37,100,100
20121130T104626,589.,200,200,589.36,100,100
20121130T104627,589.,200,200,589.34,100,100
20121130T104629,589.,200,200,589.28,100,100
20121130T104630,589.,200,200,589.3,100,100
20121130T104631,589.,200,200,589.28,100,100
20121130T104634,589.,200,200,589.26,100,100
20121130T104636,589.,200,200,589.25,100,100
20121130T104638,589.,200,200,589.26,100,100
20121130T104643,589.,200,200,589.24,100,100
20121130T104646,589.,200,200,589.23,100,100
20121130T104648,589.,200,200,589.15,100,100
20121130T104650,589.,200,200,589.18,100,100
20121130T104653,589.,200,200,589.17,100,100
20121130T104657,589.,200,200,589.19,100,100
20121130T104700,589.,200,200,589.2,100,100
20121130T104705,589.,200,200,589.19,100,100
20121130T104712,589.,200,200,589.22,100,100
20121130T104714,589.,200,200,589.25,100,100
20121130T104720,589.,200,200,589.27,100,100
20121130T104721,589.,200,200,589.23,100,100
20121130T104723,589.,200,200,589.21,100,100
20121130T104725,589.,200,200,589.14,100,100
20121130T104730,589.,200,200,589.16,100,100
20121130T104732,589.,200,200,589.11,100,100
20121130T104733,589.,200,200,589.1,100,100
20121130T104736,589.,100,100,589.2,100,100
20121130T104737,589.,100,100,589.15,100,100
20121130T104738,589.,100,100,589.12,100,100
20121130T104739,589.,100,100,589.17,100,100
20121130T104744,589.,100,100,589.11,100,100
20121130T104745,589.,100,100,589.15,100,100
20121130T104746,589.,100,100,589.12,100,100
20121130T104748,589.,100,100,589.15,100,100
20121130T104752,589.,100,100,589.16,100,100
20121130T104754,589.,100,100,589.17,100,100
20121130T104757,589.,100,100,589.19,100,100
20121130T104759,589.,100,100,589.21,100,100
20121130T104802,589.,100,100,589.25,100,100
20121130T104804,589.,100,100,589.23,100,100
20121130T104808,589.,100,100,589.21,100,100
20121130T104812,589.,100,100,589.16,100,100
20121130T104814,589.,100,100,589.69,100,100
20121130T104815,589.,100,100,589.72,100,100
20121130T104816,589.,100,100,589.73,100,100
20121130T104818,589.,100,100,589.72,100,100
20121130T104819,589.,100,100,589.75,100,100
20121130T104820,589.,100,100,589.72,100,100
20121130T104822,589.,100,100,589.73,100,100
20121130T104825,589.,100,100,589.75,200,200
20121130T104826,589.,100,100,589.73,100,100
20121130T104828,589.,100,100,589.75,200,200
20121130T104832,589.,100,100,589.73,100,100
20121130T104837,589.,100,100,589.75,200,200
20121130T104838,589.,100,100,589.75,100,100
20121130T104839,589.,100,100,589.75,200,200
20121130T104841,589.,100,100,589.75,100,100
20121130T104946,589.06,100,100,589.75,100,100
20121130T105006,589.,100,100,589.75,100,100
